"StoreID","IsHoliday","IsOpen","HasPromotions","StoreType","AssortmentType","NearestCompetitor","Region","NumberOfSales","Region_AreaKM2","Region_GDP","Region_PopulationK","Year","Month (number)","Week","Day of year","Day of month","Day of week (number)","ID"
"1000",0,1,0,"Hyper Market","General",326,"7",,9643,17130,2770,2018,3,9,60,1,5,"1_Test"
"1000",0,1,0,"Hyper Market","General",326,"7",,9643,17130,2770,2018,3,9,61,2,6,"2_Test"
"1000",0,1,0,"Hyper Market","General",326,"7",,9643,17130,2770,2018,3,9,62,3,7,"3_Test"
"1000",0,0,0,"Hyper Market","General",326,"7",,9643,17130,2770,2018,3,10,63,4,1,"4_Test"
"1000",0,1,1,"Hyper Market","General",326,"7",,9643,17130,2770,2018,3,10,64,5,2,"5_Test"
"1000",0,1,1,"Hyper Market","General",326,"7",,9643,17130,2770,2018,3,10,65,6,3,"6_Test"
"1000",0,1,1,"Hyper Market","General",326,"7",,9643,17130,2770,2018,3,10,66,7,4,"7_Test"
"1000",0,1,1,"Hyper Market","General",326,"7",,9643,17130,2770,2018,3,10,67,8,5,"8_Test"
"1000",0,1,1,"Hyper Market","General",326,"7",,9643,17130,2770,2018,3,10,68,9,6,"9_Test"
"1000",0,1,0,"Hyper Market","General",326,"7",,9643,17130,2770,2018,3,10,69,10,7,"10_Test"
"1000",0,0,0,"Hyper Market","General",326,"7",,9643,17130,2770,2018,3,11,70,11,1,"11_Test"
"1000",0,1,0,"Hyper Market","General",326,"7",,9643,17130,2770,2018,3,11,71,12,2,"12_Test"
"1000",0,1,0,"Hyper Market","General",326,"7",,9643,17130,2770,2018,3,11,72,13,3,"13_Test"
"1000",0,1,0,"Hyper Market","General",326,"7",,9643,17130,2770,2018,3,11,73,14,4,"14_Test"
"1000",0,1,0,"Hyper Market","General",326,"7",,9643,17130,2770,2018,3,11,74,15,5,"15_Test"
"1000",0,1,0,"Hyper Market","General",326,"7",,9643,17130,2770,2018,3,11,75,16,6,"16_Test"
"1000",0,1,0,"Hyper Market","General",326,"7",,9643,17130,2770,2018,3,11,76,17,7,"17_Test"
"1000",0,0,0,"Hyper Market","General",326,"7",,9643,17130,2770,2018,3,12,77,18,1,"18_Test"
"1000",0,1,1,"Hyper Market","General",326,"7",,9643,17130,2770,2018,3,12,78,19,2,"19_Test"
"1000",0,1,1,"Hyper Market","General",326,"7",,9643,17130,2770,2018,3,12,79,20,3,"20_Test"
"1000",0,1,1,"Hyper Market","General",326,"7",,9643,17130,2770,2018,3,12,80,21,4,"21_Test"
"1000",0,1,1,"Hyper Market","General",326,"7",,9643,17130,2770,2018,3,12,81,22,5,"22_Test"
"1000",0,1,1,"Hyper Market","General",326,"7",,9643,17130,2770,2018,3,12,82,23,6,"23_Test"
"1000",0,1,0,"Hyper Market","General",326,"7",,9643,17130,2770,2018,3,12,83,24,7,"24_Test"
"1000",0,0,0,"Hyper Market","General",326,"7",,9643,17130,2770,2018,3,13,84,25,1,"25_Test"
"1000",0,1,0,"Hyper Market","General",326,"7",,9643,17130,2770,2018,3,13,85,26,2,"26_Test"
"1000",0,1,0,"Hyper Market","General",326,"7",,9643,17130,2770,2018,3,13,86,27,3,"27_Test"
"1000",0,1,0,"Hyper Market","General",326,"7",,9643,17130,2770,2018,3,13,87,28,4,"28_Test"
"1000",0,1,0,"Hyper Market","General",326,"7",,9643,17130,2770,2018,3,13,88,29,5,"29_Test"
"1000",0,1,0,"Hyper Market","General",326,"7",,9643,17130,2770,2018,3,13,89,30,6,"30_Test"
"1000",0,1,0,"Hyper Market","General",326,"7",,9643,17130,2770,2018,3,13,90,31,7,"31_Test"
"1000",0,0,0,"Hyper Market","General",326,"7",,9643,17130,2770,2018,4,14,91,1,1,"32_Test"
"1000",0,1,1,"Hyper Market","General",326,"7",,9643,17130,2770,2018,4,14,92,2,2,"33_Test"
"1000",0,1,1,"Hyper Market","General",326,"7",,9643,17130,2770,2018,4,14,93,3,3,"34_Test"
"1000",0,1,1,"Hyper Market","General",326,"7",,9643,17130,2770,2018,4,14,94,4,4,"35_Test"
"1000",0,1,1,"Hyper Market","General",326,"7",,9643,17130,2770,2018,4,14,95,5,5,"36_Test"
"1000",1,0,1,"Hyper Market","General",326,"7",,9643,17130,2770,2018,4,14,96,6,6,"37_Test"
"1000",0,1,0,"Hyper Market","General",326,"7",,9643,17130,2770,2018,4,14,97,7,7,"38_Test"
"1000",0,0,0,"Hyper Market","General",326,"7",,9643,17130,2770,2018,4,15,98,8,1,"39_Test"
"1000",1,0,0,"Hyper Market","General",326,"7",,9643,17130,2770,2018,4,15,99,9,2,"40_Test"
"1000",0,1,0,"Hyper Market","General",326,"7",,9643,17130,2770,2018,4,15,100,10,3,"41_Test"
"1000",0,1,0,"Hyper Market","General",326,"7",,9643,17130,2770,2018,4,15,101,11,4,"42_Test"
"1000",0,1,0,"Hyper Market","General",326,"7",,9643,17130,2770,2018,4,15,102,12,5,"43_Test"
"1000",0,1,0,"Hyper Market","General",326,"7",,9643,17130,2770,2018,4,15,103,13,6,"44_Test"
"1000",0,1,0,"Hyper Market","General",326,"7",,9643,17130,2770,2018,4,15,104,14,7,"45_Test"
"1000",0,0,0,"Hyper Market","General",326,"7",,9643,17130,2770,2018,4,16,105,15,1,"46_Test"
"1000",0,1,1,"Hyper Market","General",326,"7",,9643,17130,2770,2018,4,16,106,16,2,"47_Test"
"1000",0,1,1,"Hyper Market","General",326,"7",,9643,17130,2770,2018,4,16,107,17,3,"48_Test"
"1000",0,1,1,"Hyper Market","General",326,"7",,9643,17130,2770,2018,4,16,108,18,4,"49_Test"
"1000",0,1,1,"Hyper Market","General",326,"7",,9643,17130,2770,2018,4,16,109,19,5,"50_Test"
"1000",0,1,1,"Hyper Market","General",326,"7",,9643,17130,2770,2018,4,16,110,20,6,"51_Test"
"1000",0,1,0,"Hyper Market","General",326,"7",,9643,17130,2770,2018,4,16,111,21,7,"52_Test"
"1000",0,0,0,"Hyper Market","General",326,"7",,9643,17130,2770,2018,4,17,112,22,1,"53_Test"
"1000",0,1,0,"Hyper Market","General",326,"7",,9643,17130,2770,2018,4,17,113,23,2,"54_Test"
"1000",0,1,0,"Hyper Market","General",326,"7",,9643,17130,2770,2018,4,17,114,24,3,"55_Test"
"1000",0,1,0,"Hyper Market","General",326,"7",,9643,17130,2770,2018,4,17,115,25,4,"56_Test"
"1000",0,1,0,"Hyper Market","General",326,"7",,9643,17130,2770,2018,4,17,116,26,5,"57_Test"
"1000",0,1,0,"Hyper Market","General",326,"7",,9643,17130,2770,2018,4,17,117,27,6,"58_Test"
"1000",0,1,0,"Hyper Market","General",326,"7",,9643,17130,2770,2018,4,17,118,28,7,"59_Test"
"1000",0,0,0,"Hyper Market","General",326,"7",,9643,17130,2770,2018,4,18,119,29,1,"60_Test"
"1000",0,1,1,"Hyper Market","General",326,"7",,9643,17130,2770,2018,4,18,120,30,2,"61_Test"
"1001",0,1,0,"Super Market","With Non-Food Department",16755,"0",,8410,10494,1892,2018,3,9,60,1,5,"62_Test"
"1001",0,1,0,"Super Market","With Non-Food Department",16755,"0",,8410,10494,1892,2018,3,9,61,2,6,"63_Test"
"1001",0,1,0,"Super Market","With Non-Food Department",16755,"0",,8410,10494,1892,2018,3,9,62,3,7,"64_Test"
"1001",0,0,0,"Super Market","With Non-Food Department",16755,"0",,8410,10494,1892,2018,3,10,63,4,1,"65_Test"
"1001",0,1,1,"Super Market","With Non-Food Department",16755,"0",,8410,10494,1892,2018,3,10,64,5,2,"66_Test"
"1001",0,1,1,"Super Market","With Non-Food Department",16755,"0",,8410,10494,1892,2018,3,10,65,6,3,"67_Test"
"1001",0,1,1,"Super Market","With Non-Food Department",16755,"0",,8410,10494,1892,2018,3,10,66,7,4,"68_Test"
"1001",0,1,1,"Super Market","With Non-Food Department",16755,"0",,8410,10494,1892,2018,3,10,67,8,5,"69_Test"
"1001",0,1,1,"Super Market","With Non-Food Department",16755,"0",,8410,10494,1892,2018,3,10,68,9,6,"70_Test"
"1001",0,1,0,"Super Market","With Non-Food Department",16755,"0",,8410,10494,1892,2018,3,10,69,10,7,"71_Test"
"1001",0,0,0,"Super Market","With Non-Food Department",16755,"0",,8410,10494,1892,2018,3,11,70,11,1,"72_Test"
"1001",0,1,0,"Super Market","With Non-Food Department",16755,"0",,8410,10494,1892,2018,3,11,71,12,2,"73_Test"
"1001",0,1,0,"Super Market","With Non-Food Department",16755,"0",,8410,10494,1892,2018,3,11,72,13,3,"74_Test"
"1001",0,1,0,"Super Market","With Non-Food Department",16755,"0",,8410,10494,1892,2018,3,11,73,14,4,"75_Test"
"1001",0,1,0,"Super Market","With Non-Food Department",16755,"0",,8410,10494,1892,2018,3,11,74,15,5,"76_Test"
"1001",0,1,0,"Super Market","With Non-Food Department",16755,"0",,8410,10494,1892,2018,3,11,75,16,6,"77_Test"
"1001",0,1,0,"Super Market","With Non-Food Department",16755,"0",,8410,10494,1892,2018,3,11,76,17,7,"78_Test"
"1001",0,0,0,"Super Market","With Non-Food Department",16755,"0",,8410,10494,1892,2018,3,12,77,18,1,"79_Test"
"1001",0,1,1,"Super Market","With Non-Food Department",16755,"0",,8410,10494,1892,2018,3,12,78,19,2,"80_Test"
"1001",0,1,1,"Super Market","With Non-Food Department",16755,"0",,8410,10494,1892,2018,3,12,79,20,3,"81_Test"
"1001",0,1,1,"Super Market","With Non-Food Department",16755,"0",,8410,10494,1892,2018,3,12,80,21,4,"82_Test"
"1001",0,1,1,"Super Market","With Non-Food Department",16755,"0",,8410,10494,1892,2018,3,12,81,22,5,"83_Test"
"1001",0,1,1,"Super Market","With Non-Food Department",16755,"0",,8410,10494,1892,2018,3,12,82,23,6,"84_Test"
"1001",0,1,0,"Super Market","With Non-Food Department",16755,"0",,8410,10494,1892,2018,3,12,83,24,7,"85_Test"
"1001",0,0,0,"Super Market","With Non-Food Department",16755,"0",,8410,10494,1892,2018,3,13,84,25,1,"86_Test"
"1001",0,1,0,"Super Market","With Non-Food Department",16755,"0",,8410,10494,1892,2018,3,13,85,26,2,"87_Test"
"1001",0,1,0,"Super Market","With Non-Food Department",16755,"0",,8410,10494,1892,2018,3,13,86,27,3,"88_Test"
"1001",0,1,0,"Super Market","With Non-Food Department",16755,"0",,8410,10494,1892,2018,3,13,87,28,4,"89_Test"
