StoreID,Date,IsHoliday,IsOpen,HasPromotions,StoreType,AssortmentType,NearestCompetitor,Region,NumberOfCustomers,NumberOfSales,Region_AreaKM2,Region_GDP,Region_PopulationK,CloudCover,Events,Max_Dew_PointC,Max_Gust_SpeedKm_h,Max_Humidity,Max_Sea_Level_PressurehPa,Max_TemperatureC,Max_VisibilityKm,Max_Wind_SpeedKm_h,Mean_Dew_PointC,Mean_Humidity,Mean_Sea_Level_PressurehPa,Mean_TemperatureC,Mean_VisibilityKm,Mean_Wind_SpeedKm_h,Min_Dew_PointC,Min_Humidity,Min_Sea_Level_PressurehPa,Min_TemperatureC,Min_VisibilitykM,Precipitationmm,WindDirDegrees
1000,01/03/2016,0,1,0,Hyper Market,General,326,7,495,5676,9643,17130,2770,8.0,Rain-Snow,1,,100,1032,2,19.0,21,-1,82,1030,1,11.0,16,-2,70,1029,1,6.0,0.0,23
1000,02/03/2016,0,1,0,Hyper Market,General,326,7,608,8111,9643,17130,2770,8.0,Snow,0,,87,1030,5,23.0,16,-1,73,1027,3,13.0,10,-2,58,1025,1,10.0,0.0,56
1000,04/03/2016,0,1,0,Hyper Market,General,326,7,665,8300,9643,17130,2770,8.0,Rain,0,,81,1026,4,31.0,23,-1,71,1024,3,11.0,10,-3,55,1023,2,8.0,0.0,22
1000,05/03/2016,0,1,0,Hyper Market,General,326,7,630,7154,9643,17130,2770,6.0,,-3,,80,1027,8,31.0,19,-4,56,1024,3,15.0,10,-6,25,1022,-1,10.0,0.0,108
1000,06/03/2016,0,0,0,Hyper Market,General,326,7,0,0,9643,17130,2770,6.0,,0,,93,1025,7,31.0,16,-3,75,1023,1,12.0,5,-6,48,1022,-5,5.0,0.0,46
1000,07/03/2016,0,1,1,Hyper Market,General,326,7,763,10110,9643,17130,2770,,,-2,,93,1024,11,31.0,24,-3,65,1020,4,22.0,11,-4,26,1016,-2,16.0,0.0,68
1000,08/03/2016,0,1,1,Hyper Market,General,326,7,675,9019,9643,17130,2770,,,-1,,87,1017,13,26.0,14,-2,60,1012,6,21.0,8,-4,24,1008,-2,18.0,0.0,62
1000,09/03/2016,0,1,1,Hyper Market,General,326,7,690,8804,9643,17130,2770,,,2,,93,1009,15,26.0,16,-1,59,1004,7,22.0,10,-2,25,1000,-1,13.0,0.0,53
1000,10/03/2016,0,1,1,Hyper Market,General,326,7,617,7823,9643,17130,2770,7.0,Rain,8,,87,1002,16,26.0,13,2,55,1000,11,14.0,6,0,28,999,6,7.0,0.0,54
1000,11/03/2016,0,1,1,Hyper Market,General,326,7,636,7989,9643,17130,2770,7.0,Rain,8,,93,1002,17,14.0,14,7,71,1000,12,9.0,11,5,37,998,7,6.0,0.51,30
1000,12/03/2016,0,1,0,Hyper Market,General,326,7,511,5895,9643,17130,2770,6.0,Rain,10,45.0,100,1002,13,19.0,26,7,80,1001,10,9.0,11,5,52,1000,6,5.0,0.0,202
1000,13/03/2016,0,0,0,Hyper Market,General,326,7,0,0,9643,17130,2770,6.0,Fog-Rain,7,45.0,100,1002,11,31.0,24,3,85,1000,6,11.0,11,0,55,998,2,5.0,2.03,250
1000,14/03/2016,0,1,0,Hyper Market,General,326,7,564,6348,9643,17130,2770,7.0,Rain-Snow,0,,93,1005,1,16.0,27,-3,79,1003,-1,9.0,18,-5,59,1002,-2,3.0,0.0,26
