StoreID,Date,IsHoliday,IsOpen,HasPromotions,StoreType,AssortmentType,NearestCompetitor,Region,NumberOfCustomers,NumberOfSales,Region_AreaKM2,Region_GDP,Region_PopulationK,CloudCover,Events,Max_Dew_PointC,Max_Gust_SpeedKm_h,Max_Humidity,Max_Sea_Level_PressurehPa,Max_TemperatureC,Max_VisibilityKm,Max_Wind_SpeedKm_h,Mean_Dew_PointC,Mean_Humidity,Mean_Sea_Level_PressurehPa,Mean_TemperatureC,Mean_VisibilityKm,Mean_Wind_SpeedKm_h,Min_Dew_PointC,Min_Humidity,Min_Sea_Level_PressurehPa,Min_TemperatureC,Min_VisibilitykM,Precipitationmm,WindDirDegrees
1000,01/03/2016,0,1,0,Hyper Market,General,326,7,495,5676,9643,17130,2770,8,Rain-Snow,1,,100,1032,2,19,21,-1,82,1030,1,11,16,-2,70,1029,1,6,0,23
1000,02/03/2016,0,1,0,Hyper Market,General,326,7,608,8111,9643,17130,2770,8,Snow,0,,87,1030,5,23,16,-1,73,1027,3,13,10,-2,58,1025,1,10,0,56
1000,04/03/2016,0,1,0,Hyper Market,General,326,7,665,8300,9643,17130,2770,8,Rain,0,,81,1026,4,31,23,-1,71,1024,3,11,10,-3,55,1023,2,8,0,22
1000,05/03/2016,0,1,0,Hyper Market,General,326,7,630,7154,9643,17130,2770,6,,-3,,80,1027,8,31,19,-4,56,1024,3,15,10,-6,25,1022,-1,10,0,108
1000,06/03/2016,0,0,0,Hyper Market,General,326,7,0,0,9643,17130,2770,6,,0,,93,1025,7,31,16,-3,75,1023,1,12,5,-6,48,1022,-5,5,0,46
1000,07/03/2016,0,1,1,Hyper Market,General,326,7,763,10110,9643,17130,2770,,,-2,,93,1024,11,31,24,-3,65,1020,4,22,11,-4,26,1016,-2,16,0,68
1000,08/03/2016,0,1,1,Hyper Market,General,326,7,675,9019,9643,17130,2770,,,-1,,87,1017,13,26,14,-2,60,1012,6,21,8,-4,24,1008,-2,18,0,62
1000,09/03/2016,0,1,1,Hyper Market,General,326,7,690,8804,9643,17130,2770,,,2,,93,1009,15,26,16,-1,59,1004,7,22,10,-2,25,1000,-1,13,0,53
1000,10/03/2016,0,1,1,Hyper Market,General,326,7,617,7823,9643,17130,2770,7,Rain,8,,87,1002,16,26,13,2,55,1000,11,14,6,0,28,999,6,7,0,54
1000,11/03/2016,0,1,1,Hyper Market,General,326,7,636,7989,9643,17130,2770,7,Rain,8,,93,1002,17,14,14,7,71,1000,12,9,11,5,37,998,7,6,"0,51",30
1000,12/03/2016,0,1,0,Hyper Market,General,326,7,511,5895,9643,17130,2770,6,Rain,10,45,100,1002,13,19,26,7,80,1001,10,9,11,5,52,1000,6,5,0,202
1000,13/03/2016,0,0,0,Hyper Market,General,326,7,0,0,9643,17130,2770,6,Fog-Rain,7,45,100,1002,11,31,24,3,85,1000,6,11,11,0,55,998,2,5,"2,03",250
1000,14/03/2016,0,1,0,Hyper Market,General,326,7,564,6348,9643,17130,2770,7,Rain-Snow,0,,93,1005,1,16,27,-3,79,1003,-1,9,18,-5,59,1002,-2,3,0,26
1000,15/03/2016,0,1,0,Hyper Market,General,326,7,429,4738,9643,17130,2770,7,Fog-Rain-Snow,-3,48,100,1004,-3,8,29,-4,92,1001,-4,3,23,-6,81,999,-4,0,"5,08",26
1000,16/03/2016,0,1,0,Hyper Market,General,326,7,546,6014,9643,17130,2770,5,Snow,-6,,86,1010,0,31,21,-8,70,1005,-3,12,13,-9,40,1002,-6,6,0,27
1000,17/03/2016,0,1,0,Hyper Market,General,326,7,509,6087,9643,17130,2770,4,Snow,-2,,93,1014,2,26,21,-7,78,1011,-4,10,5,-12,51,1009,-11,6,"0,51",272
1000,18/03/2016,0,1,0,Hyper Market,General,326,7,569,6962,9643,17130,2770,2,Snow,-6,,80,1019,2,31,19,-9,56,1016,-3,17,10,-11,35,1014,-8,10,0,218
1000,19/03/2016,0,1,0,Hyper Market,General,326,7,580,6618,9643,17130,2770,,,-6,34,74,1018,8,31,23,-8,44,1013,3,27,6,-12,13,1008,-2,19,0,138
1000,20/03/2016,0,0,0,Hyper Market,General,326,7,0,0,9643,17130,2770,7,Rain-Snow,5,,100,1009,5,31,21,0,83,1002,2,7,11,-7,34,996,0,0,"6,1",86
1000,21/03/2016,0,1,1,Hyper Market,General,326,7,694,9183,9643,17130,2770,6,Fog,6,34,100,997,8,31,14,2,77,995,4,11,10,-4,28,993,1,3,0,190
1000,22/03/2016,0,1,1,Hyper Market,General,326,7,643,8155,9643,17130,2770,4,Fog-Rain,4,53,100,1003,9,23,35,2,82,999,3,10,13,-2,47,995,-2,5,0,211
1000,23/03/2016,0,1,1,Hyper Market,General,326,7,541,7109,9643,17130,2770,6,Rain,6,52,100,1012,9,31,32,3,89,1004,5,10,10,-1,58,1001,1,6,"5,08",191
1000,24/03/2016,0,1,1,Hyper Market,General,326,7,626,8041,9643,17130,2770,6,Rain-Snow,0,,87,1020,5,27,21,-2,71,1017,3,11,11,-4,51,1012,1,8,0,331
1000,25/03/2016,0,1,1,Hyper Market,General,326,7,625,7890,9643,17130,2770,5,,-1,,93,1020,7,31,34,-3,61,1016,3,12,14,-6,31,1014,-1,5,0,59
1000,26/03/2016,0,1,0,Hyper Market,General,326,7,511,6005,9643,17130,2770,7,,-5,,64,1016,3,31,34,-7,52,1015,1,14,23,-10,34,1014,-1,10,0,67
1000,27/03/2016,0,0,0,Hyper Market,General,326,7,0,0,9643,17130,2770,8,,-10,60,48,1016,6,31,35,-12,34,1013,2,28,24,-14,13,1011,-2,26,0,59
1000,28/03/2016,0,1,1,Hyper Market,General,326,7,637,8550,9643,17130,2770,6,,-8,,59,1014,3,31,32,-10,42,1012,0,17,24,-12,24,1011,-3,10,0,41
1000,29/03/2016,0,1,1,Hyper Market,General,326,7,652,8589,9643,17130,2770,6,,-9,42,59,1013,4,31,29,-10,43,1011,1,20,21,-12,17,1009,-3,10,0,36
1000,30/03/2016,0,1,1,Hyper Market,General,326,7,675,9055,9643,17130,2770,3,,-8,34,60,1013,6,31,24,-9,44,1010,1,19,13,-10,20,1008,-3,10,0,72
1000,31/03/2016,0,1,1,Hyper Market,General,326,7,846,11907,9643,17130,2770,6,Rain-Snow,-1,35,87,1011,6,26,21,-4,60,1008,2,12,13,-8,36,1005,-2,2,0,32
1000,01/04/2016,1,0,1,Hyper Market,General,326,7,0,0,9643,17130,2770,6,Fog-Rain-Snow,0,,100,1009,4,11,14,-2,78,1008,1,7,6,-3,52,1006,-2,2,0,231
1000,02/04/2016,0,1,0,Hyper Market,General,326,7,851,11129,9643,17130,2770,6,,-2,,87,1009,6,11,21,-3,64,1006,2,8,13,-6,34,1005,-1,5,0,25
1000,03/04/2016,0,0,0,Hyper Market,General,326,7,0,0,9643,17130,2770,5,Snow,-2,,81,1013,4,19,24,-4,61,1011,2,11,16,-8,30,1008,-1,6,0,21
1000,04/04/2016,1,0,0,Hyper Market,General,326,7,0,0,9643,17130,2770,2,,-4,,86,1013,7,31,24,-6,56,1010,1,15,14,-8,24,1008,-4,10,0,41
1000,05/04/2016,0,1,0,Hyper Market,General,326,7,638,6981,9643,17130,2770,1,,-5,45,65,1013,8,31,35,-7,49,1010,3,20,18,-8,22,1009,-2,10,0,39
1000,06/04/2016,0,1,0,Hyper Market,General,326,7,512,5222,9643,17130,2770,6,Rain,-4,,70,1015,7,19,29,-5,53,1013,3,12,19,-7,29,1013,1,10,0,42
1000,07/04/2016,0,1,0,Hyper Market,General,326,7,574,6509,9643,17130,2770,7,,-2,,70,1014,10,18,32,-4,52,1010,6,12,16,-6,28,1008,1,10,0,53
1000,08/04/2016,0,1,0,Hyper Market,General,326,7,529,6270,9643,17130,2770,7,,-2,,75,1013,4,18,24,-3,63,1009,2,11,16,-3,50,1007,1,10,0,34
1000,09/04/2016,0,1,0,Hyper Market,General,326,7,562,6790,9643,17130,2770,7,Rain,2,,87,1022,6,23,23,-1,69,1017,4,12,13,-2,50,1013,2,10,0,26
1000,10/04/2016,0,0,0,Hyper Market,General,326,7,0,0,9643,17130,2770,4,Fog-Rain,0,,100,1024,9,31,19,-4,61,1020,3,14,8,-7,19,1016,-3,8,0,43
1000,11/04/2016,0,1,1,Hyper Market,General,326,7,702,9185,9643,17130,2770,7,Rain,4,37,87,1017,11,31,27,-2,59,1008,4,16,11,-6,28,1004,-2,10,0,97
1000,12/04/2016,0,1,1,Hyper Market,General,326,7,661,8948,9643,17130,2770,6,Rain,7,47,100,1005,11,31,24,5,85,1003,8,12,10,3,52,1001,4,8,"0,51",180
1000,13/04/2016,0,1,1,Hyper Market,General,326,7,604,7995,9643,17130,2770,6,Rain,9,32,100,1010,12,26,35,7,85,1006,9,11,14,4,59,1002,6,8,"2,03",205
1000,14/04/2016,0,1,1,Hyper Market,General,326,7,620,7515,9643,17130,2770,6,Rain,13,55,100,1010,18,31,34,9,86,1003,12,12,13,4,55,1000,7,7,"6,1",186
1000,15/04/2016,0,1,1,Hyper Market,General,326,7,645,8010,9643,17130,2770,6,Rain-Thunderstorm,11,64,100,1009,16,31,37,7,78,1004,12,10,13,4,37,1000,8,4,"7,87",218
1000,16/04/2016,0,1,0,Hyper Market,General,326,7,583,6628,9643,17130,2770,4,Rain-Hail,9,50,87,1023,15,31,32,6,67,1017,11,11,21,3,36,1010,8,10,"0,51",221
1000,17/04/2016,0,0,0,Hyper Market,General,326,7,0,0,9643,17130,2770,6,Rain,8,,82,1026,22,10,14,6,55,1024,16,10,5,4,26,1021,8,10,0,182
1000,18/04/2016,0,1,0,Hyper Market,General,326,7,615,6315,9643,17130,2770,6,Fog-Rain,13,,82,1022,24,10,16,8,55,1020,17,10,8,6,22,1018,10,10,0,312
1000,19/04/2016,0,1,0,Hyper Market,General,326,7,596,6290,9643,17130,2770,6,Rain,14,37,100,1022,22,31,26,11,62,1020,18,10,8,6,27,1018,14,6,"0,25",250
1000,20/04/2016,0,1,0,Hyper Market,General,326,7,562,5899,9643,17130,2770,6,Rain,9,39,63,1024,23,31,14,8,48,1022,19,16,8,7,27,1017,15,10,0,198
1000,21/04/2016,0,1,0,Hyper Market,General,326,7,573,6296,9643,17130,2770,4,,11,50,88,1020,22,31,32,8,54,1017,17,14,13,2,27,1014,11,10,0,239
1000,22/04/2016,0,1,0,Hyper Market,General,326,7,567,6327,9643,17130,2770,7,Rain,5,,67,1026,14,10,21,1,42,1023,12,10,11,-3,20,1020,11,10,0,268
